backend,model,mode,language,category,attempts,exact_rate,pass_rate,ok_rate,parse_error_rate,non_completable_rate,incomplete_rate,semantic_mismatch_rate,timeout_rate,other_error_rate,avg_tokens,avg_seconds
local,Qwen/Qwen3.5-2B,constrained_direct,imp,imp:branching,6,0.0,0.0,0.0,0.0,0.0,16.67,83.33,0.0,0.0,40.0,45.26
local,Qwen/Qwen3.5-2B,constrained_direct,imp,imp:loops,4,0.0,25.0,25.0,0.0,0.0,50.0,25.0,0.0,0.0,103.5,6.33
local,Qwen/Qwen3.5-2B,constrained_direct,imp,imp:mixed_control,2,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,38.0,2.08
local,Qwen/Qwen3.5-2B,constrained_direct,imp,imp:nested_branching,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,66.67,129.66
local,Qwen/Qwen3.5-2B,constrained_direct,imp,imp:sequence,3,0.0,66.67,66.67,0.0,0.0,0.0,33.33,0.0,0.0,22.33,1.26
local,Qwen/Qwen3.5-2B,constrained_direct,imp,imp:while_loop,3,0.0,33.33,33.33,0.0,0.0,0.0,66.67,0.0,0.0,19.33,1.07
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_application,2,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,11.5,0.77
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_argument_order,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,7.0,0.51
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_choice,2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,7.0,0.5
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_composition,6,0.0,16.67,16.67,0.0,0.0,66.67,16.67,0.0,0.0,36.0,106.34
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_continuation,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,15.0,0.95
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_contraction,2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.5,0.77
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_elimination,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,0.63
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_eta,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.46
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_function_result,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.48
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_higher_order,3,0.0,0.0,0.0,0.0,0.0,33.33,66.67,0.0,0.0,18.0,1.02
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_identity,2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6.0,0.46
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_modus_ponens,2,0.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,7.0,76.23
local,Qwen/Qwen3.5-2B,constrained_direct,stlc,stlc:logic_pipeline,1,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.96
